AMFI Code,Maximum Drawdown (%),Worst Drawdown Date,scheme_name,Rank
120507,-0.1,2025-10-20,ICICI Pru Liquid Fund - Regular - Growth,1.0
120844,-0.12,2024-04-30,Kotak Liquid Fund - Regular - Growth,2.0
101208,-0.16,2023-09-12,ABSL Liquid Fund - Regular - Growth,3.0
100025,-4.31,2023-07-28,HDFC Short Term Debt Fund - Regular - Growth,4.0
119120,-4.33,2025-04-01,SBI Magnum Gilt Fund - Regular Plan - Growth,5.0
118636,-8.32,2024-02-09,Nippon India Gilt Securities Fund - Regular - Growth,6.0
102885,-10.86,2022-03-29,UTI Nifty 50 Index Fund - Regular - Growth,7.0
148567,-11.27,2023-10-20,Mirae Asset Large Cap Fund - Regular - Growth,8.0
101206,-11.29,2023-07-05,ABSL Frontline Equity Fund - Regular - Growth,9.0
118635,-11.65,2022-06-09,Nippon India ETF Nifty 50 BeES,10.0
119552,-11.8,2024-09-02,SBI Bluechip Fund - Direct Plan - Growth,11.0
120504,-12.59,2023-05-30,ICICI Pru Bluechip Fund - Direct - Growth,12.0
120843,-12.97,2022-04-13,Kotak Flexicap Fund - Regular - Growth,13.0
120503,-13.9,2023-11-09,ICICI Pru Bluechip Fund - Regular - Growth,14.0
119092,-14.4,2025-02-07,Axis Bluechip Fund - Regular - Growth,15.0
149322,-14.84,2022-02-04,DSP Top 100 Equity Fund - Regular - Growth,16.0
119551,-15.01,2024-02-05,SBI Bluechip Fund - Regular Plan - Growth,17.0
125497,-15.2,2025-01-01,HDFC Top 100 Fund - Direct Plan - Growth,18.0
148568,-15.27,2024-01-24,Mirae Asset Emerging Bluechip Fund - Regular - Growth,19.0
100033,-16.22,2022-05-12,HDFC Mid-Cap Opportunities Fund - Regular - Growth,20.0
148569,-16.4,2023-10-20,Mirae Asset Tax Saver Fund - Regular - Growth,21.0
149323,-17.25,2022-10-24,DSP Midcap Fund - Regular - Growth,22.0
118632,-17.41,2024-07-19,Nippon India Large Cap Fund - Regular - Growth,23.0
120841,-17.57,2025-02-14,Kotak Bluechip Fund - Regular - Growth,24.0
120505,-18.19,2025-01-23,ICICI Pru Midcap Fund - Regular - Growth,25.0
118633,-18.63,2024-02-29,Nippon India Large Cap Fund - Direct - Growth,26.0
120506,-19.83,2023-08-14,ICICI Pru Value Discovery Fund - Regular - Growth,27.0
119094,-20.96,2022-08-11,Axis Midcap Fund - Regular - Growth,28.0
125498,-21.12,2025-09-12,HDFC Mid-Cap Opportunities Fund - Direct - Growth,29.0
102887,-21.54,2022-07-04,UTI Flexi Cap Fund - Regular - Growth,30.0
119093,-21.75,2023-05-22,Axis Bluechip Fund - Direct - Growth,31.0
118634,-23.34,2026-02-20,Nippon India Small Cap Fund - Regular - Growth,32.0
120842,-24.0,2024-10-17,Kotak Emerging Equity Fund - Regular - Growth,33.0
100016,-24.73,2022-09-15,HDFC Top 100 Fund - Regular Plan - Growth,34.0
102886,-28.0,2026-04-27,UTI Mid Cap Fund - Regular - Growth,35.0
119598,-28.71,2025-05-14,SBI Small Cap Fund - Regular Plan - Growth,36.0
149324,-31.17,2025-01-03,DSP Small Cap Fund - Regular - Growth,37.0
101207,-35.45,2026-05-11,ABSL Small Cap Fund - Regular - Growth,38.0
119095,-51.68,2026-05-11,Axis Small Cap Fund - Regular - Growth,39.0
119599,-52.57,2025-10-28,SBI Small Cap Fund - Direct Plan - Growth,40.0
